toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,stellar_mass
1064.02,79748331,CONFIRMED,19h44m00.94s,296.003935,-47d33m43.31s,-47.56203,-3.457,-100.891,2458664.490132,12.2265595,2.1904379,1206.3693293,2.6014766,25.8970378,575.3502049,10.0059,68.0726,4803.0,4.52079,0.737189,2019-08-16 20:20:42,2024-04-25 10:08:01,0.6573107178486254
1065.01,7088246,CONFIRMED,19h05m28.02s,286.36675,-50d04m02.46s,-50.06735,7.315,-0.862,2458654.347994,2.160344,1.828854,19357.992992,22.503541,363.6038948,1183.0274647,13.2851,639.004,5780.0,4.32928,1.2,2019-08-16 20:20:41,2021-10-29 12:59:15,1.120638434491262
1066.01,201604954,CONFIRMED,19h00m23.16s,285.096517,-54d53m36.03s,-54.893341,3.99,-37.19,2458657.832537,4.606184,3.121643,13793.034867,12.962219,363.6038948,1183.0274647,11.9707,353.891,5670.0,4.3925,1.07,2019-08-16 20:20:44,2021-10-29 12:59:15,1.0306010406218233
1067.01,201642601,CONFIRMED,19h14m41.28s,288.672005,-59d34m45.66s,-59.57935,3.125,6.146,2458656.987874,3.1316735,2.4579197,14915.6943722,9.4995191,148.6544991,890.5622134,13.1686,263.609,4351.0,4.438,0.76701,2019-08-16 20:20:44,2024-03-14 16:54:32,0.5880646498745966
1068.01,6663331,CONFIRMED,18h57m35.94s,284.399762,-49d08m18.65s,-49.138513,11.096,-5.764,2458656.633231,3.180362,2.111521,21192.463324,13.446487,363.6038948,1183.0274647,13.2887,535.383,5498.0,4.47934,0.92,2019-08-16 20:20:41,2021-10-29 12:59:15,0.9305477769910767
1069.01,31858843,CONFIRMED,19h17m55.01s,289.479212,-32d51m36.45s,-32.860124,-16.778,-31.803,2460147.378764,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,10.4293,197.996,5703.0,4.25824,1.22,2019-08-16 20:20:41,2023-10-16 16:02:02,0.9835188378896782
107.01,92352620,CONFIRMED,20h55m07.98s,313.783239,-34d08m08.7s,-34.135751,26.376,-44.947,2460176.993334,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,9.6433,211.211,6153.0,4.18077,1.71,2018-09-05 18:49:20,2023-11-15 16:02:02,1.6165354838483774
1070.01,31858844,FALSE POSITIVE,19h17m54.85s,289.478541,-32d51m40.78s,-32.861327,-1.59,-3.4545,2458655.579241,2.9776152,3.25697,43218.111683,26.88423,873.27,1386.5,15.7114,364.963,5740.0,4.29219,1.28,2019-08-16 20:20:41,2021-10-29 12:59:15,1.170665879707531
1071.01,120247528,CONFIRMED,18h40m44.2s,280.184169,-58d27m33.8s,-58.459388,-27.094,-30.897,2458655.394059,3.5544026,2.0550535,10164.8753396,13.200677,515.0014435,1214.9876435,11.5803,290.198,5639.0,4.37172,1.11499,2019-08-16 20:20:42,2025-08-29 16:00:02,1.066804811976504
1072.01,140830390,FALSE POSITIVE,05h02m30.55s,75.627307,-72d54m50.39s,-72.913998,1.679,32.797,2459211.732146,12.8379689,9.8464123,10539.0192794,25.4886382,374.129,1225.0,11.7106,703.878,5765.0,4.34773,2.4494,2019-08-16 20:20:43,2021-10-29 12:59:15,4.871609270926918
